label,text,sn_text
17,How do I fill a DataSet or a DataTable from a LINQ query resultset ?,How do not I fill a DataSet or a DataTable from a LINQ query resultset ?
17,How do you page a collection with LINQ?,How do not you page a collection with LINQ ?
2,Best Subversion clients for Windows Vista (64bit),Not Best Subversion clients for Windows Vista ( 64bit )
2,"Best Practice: Collaborative Environment, Bin Directory, SVN","Not Best Practice : Collaborative Environment , Bin Directory , SVN"
6,Visual Studio Setup Project - Per User Registry Settings,Not Visual Studio Setup Project - Per User Registry Settings
17,How do I most elegantly express left join with aggregate SQL as LINQ query,How do not I most elegantly express left join with aggregate SQL as LINQ query
6,.Net XML comment into API Documentation,Not .Net XML comment into API Documentation
14,Modify Address Bar URL in AJAX App to Match Current State,Not Modify Address Bar URL in AJAX App to Match Current State
6,Integrating Visual Studio Test Project with Cruise Control,Not Integrating Visual Studio Test Project with Cruise Control
9,What should a longtime Windows user know when starting to use Linux?,What should not a longtime Windows user know when starting to use Linux ?
6,Folders or Projects in a Visual Studio Solution?,Not Folders or Projects in a Visual Studio Solution ?
2,How do I create a branch in SVN?,How do not I create a branch in SVN ?
6,Add Custom Tag to Visual Studio Validation,Not Add Custom Tag to Visual Studio Validation
8,How do I turn on line numbers by default in TextWrangler on the Mac?,How do not I turn on line numbers by default in TextWrangler on the Mac ?
8,How to tab focus onto a dropdown field in Mac OSX,How to not tab focus onto a dropdown field in Mac OSX
8,How to tab between buttons on an OSX dialog box,How to not tab between buttons on an OSX dialog box
14,Progressive Enhancement,Not Progressive Enhancement
4,What is a good web-based Grid that accepts Excel clipboard data?,What is not a good web - based Grid that accepts Excel clipboard data ?
6,What is keyboard shortcut to view all open documents in Visual Studio 2008,What is not keyboard shortcut to view all open documents in Visual Studio 2008
6,How to generate getters and setters in Visual Studio?,How to not generate getters and setters in Visual Studio ?
6,"Plugin for Visual Studio to Mimic Eclipse's ""Open Type"" or ""Open Resource"" Keyboard Access","Not Plugin for Visual Studio to Mimic Eclipse 's "" Open Type "" or "" Open Resource "" Keyboard Access"
14,Can ASP.NET AJAX partial rendering work inside a SharePoint 2007 application page?,Can not ASP.NET AJAX partial rendering work inside a SharePoint 2007 application page ?
6,What is the best way to deploy a VB.NET application?,What is not the best way to deploy a VB.NET application ?
2,what is your favorite web app deployment workflow with SVN?,what is not your favorite web app deployment workflow with SVN ?
6,Setup Visual Studio 2005 to print line numbers,Not Setup Visual Studio 2005 to print line numbers
6,Automated release script and Visual Studio Setup projects,Not Automated release script and Visual Studio Setup projects
8,How do I configure a Vista Ultimate (64bit) account so it can access a SMB share on OSX?,How do not I configure a Vista Ultimate ( 64bit ) account so it can access a SMB share on OSX ?
2,SVN merge merged extra stuff,SVN merge did not merge extra stuff
2,Best SVN Client Ignore Pattern for VB.NET Solutions?,Not Best SVN Client Ignore Pattern for VB.NET Solutions ?
2,Experience with SVN vs. Team Foundation Server?,Not Experience with SVN vs. Team Foundation Server ?
2,Version control PHP Web Project,Not Version control PHP Web Project
2,Database Version Control,Not Database Version Control
2,How to add CVS directories recursively,How to not add CVS directories recursively
8,How can I fix the background of wikipedia pages as displayed in Google Chrome?,How can not I fix the background of wikipedia pages as displayed in Google Chrome ?
14,How to specify javascript to run when ModalPopupExtender is shown,How to not specify javascript to run when ModalPopupExtender is shown
14,IE6 + SSL + AJAX + post form  = 404 error (?),Not IE6 + SSL + AJAX + post form   = 404 error ( ? )
2,Always Commit the same file with SVN,Not Always Commit the same file with SVN
2,How do you deal with configuration files in source control?,How do not you deal with configuration files in source control ?
2,Common Types of Subversion Hooks,Not Common Types of Subversion Hooks
6,VS 2008 - Objects disappearing?,Not VS 2008 - Objects disappearing ?
6,Visual Studio and dual/multiple monitors: how do I get optimized use out of my monitors?,Not Visual Studio and dual / multiple monitors : how do I get optimized use out of my monitors ?
